tour_id,operator_id,enquiry_id,user_id,channel,author,type,added_at,message
14263,1170,825562,1645868,customer,traveller,message,2023-01-01 22:28:48,"""- Automatic Message -

If I purchase, Europe Escape 12 days (Rome to Rome), operator Expat Explore Travel trip package, then which air port do I need to use and will you pick me up from airport and drop me at the airport without charge/ fare? Can you please let me know. Thanks

Interested Departure Date:
Sunday 13 August, 2023

Number of travellers:
4 Adults"""
14263,1170,825975,1646704,operator,operator,message,2023-01-09 08:22:52,"""Traveller's question for TourRadar

Client would like a break down of the tour cost please."""
14263,1170,825975,1646703,customer,traveller,message,2023-01-09 19:58:06,"""Good afternoon , I am already booked on the tour that I request on nay 21st. Please provide the specific breakdown of my bill. Thank you."""
14263,1170,826114,1647006,customer,traveller,message,2023-01-02 21:33:30,"""- Automatic Message -

Hi there!

Could you give me an approximate quote for a solo traveler, individual room in a 4 stars hotel, and how much the difference will be versus basic accommodation?

Thank you!

Interested Departure Date:
Sunday 10 November, 2024

Number of travellers:
1 Adults"""
14263,1170,826114,1647007,customer,operator,message,2023-01-05 06:18:40,"""Hi Karen

Thank you for reaching out to us,

As for the dates you are looking at in 2024, we have yet to release our single supplement pricing for the year, it will only be released mid this year.

I totally understand that you want to just compare your pricing and have a plan in order, the pricing for a 2023 single supplement has been 765,00 USD this again is subject to change.

Kind Regards
Jenni B
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-01-03 18:56:01,"""I would like to request a quote for the following services:
&nbsp;
Pre Accommodation:
City: Rome, Italy
Arrival Date: August 12th, 2023
Departure Date: August 13th, 2023

No. Nights: 1
&nbsp;"""
14263,1170,826248,1647286,customer,operator,message,2023-01-04 08:32:18,"""Hi Ba Quang Anh

Kindly note we don't provide pre-accommodation for this tour.

The starting point for this hotel is the following, this is subject to change. As your tour is only starting 220 plus days away.

Excel Roma MonteMario, Via Degli Scolopi 31 - 00136 Roma (RM)
+39 06 3505 8001.

You will receive 5-7 days before a Tour Leader announcement and a full list of accommodations and itinerary for your tour.

Kind Regards
Jenni B
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-06-19 16:06:41,"""Hi, I am just wondering where the starting point will be so I can book the pre-accommodation"""
14263,1170,826248,1647286,customer,operator,message,2023-06-19 16:53:14,"""Hi Ba Quang Anh,

I hope that you're well!

The starting point of your tour is currently Excel Roma Montemario	(Via degli Scolopi, 31, 00136 Roma RM, Italy, Tel: +39 06 3505 8043)	

Kindly note that this may still be subject to change (although unlikely)

If there is anything else we can assist you with before departure, please do not hesitate to contact us.

Kind Regards
Nicole E
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-06-20 14:31:31,"""Thank you so much for your help! Does the tour include the Venice Gondola ticket or I will have to buy it myself?"""
14263,1170,826248,1647286,customer,operator,message,2023-06-20 15:27:03,"""Hi Ba Quang Anh,

Thank you for your response, 

Please note that the Gondola optional excursion is not included in the tour package. 

Gondola optional Venice Gondola Ride - € 25
Please Note: Gondolas can take up to 6 people, so you will be sharing your experience with other members of your Expat Explore group. After 19:00 hrs the cost will increase by an additional €5.00 per person.	

If you have any further questions or queries, please do not hesitate to contact us.

We look forward to hosting you.

Kind regards
Nicole E
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-06-20 16:49:17,"""thank you so much! For the optional excursions, do I have to separate from the group because I am concerned that I will lose track of the group? I actually want to follow the tour group"""
14263,1170,826248,1647285,customer,traveller,message,2023-06-20 16:56:19,"""Sorry I ask you a lot of questions because this is the first tour that I booked"""
14263,1170,826248,1647286,customer,operator,message,2023-06-20 18:15:09,"""Hi Ba Quang Anh,

It's no trouble at all.

When you book an optional excursion with us, most of the time, your tour leader will be present and will guide you to your next destination. This means that you will be taken care of and can rest assured that you are in good hands.

If you have any further questions or queries, please do not hesitate to contact us.

Kind regards
Nicole E
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-07-04 13:21:35,"""Hello,

I am just wondering if I need to input my passport information in my TourRadar account. I worry that the passport information will be exposed to identity theft."""
14263,1170,826248,1647286,customer,operator,message,2023-07-04 14:31:50,"""Hi Ba Quang Anh,

Thank you for reaching out to us,

We completely understand your concern about sharing passport information. We prioritize the security and protection of our customers' data. Please be assured that we have implemented several security measures to safeguard your personal information.

The collection of passport details is necessary for making the required arrangements for your tour, such as accommodations, transportation, and entry to certain attractions. This information is handled with the utmost care and in compliance with relevant privacy regulations.

To ensure that all necessary arrangements are made for your trip, we kindly request that you complete the Important Passenger Information form using the provided link. This form is required by Expat Explore Travel and allows our operations team to make the appropriate arrangements on your behalf - https://expatexplore.com/cs_contact/travel-details?c=12326&amp;b=202300115

Your cooperation in providing this information is greatly appreciated.

Kind Regards
Nicole E
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-07-04 14:35:49,"""I understand, thank you for your reassurance!"""
14263,1170,826248,1647285,customer,traveller,message,2023-07-04 14:45:22,"""So can I input it in the TourRadar system or in the link that you sent me?"""
14263,1170,826248,1647286,customer,operator,message,2023-07-04 15:10:33,"""Hi Ba Quang Anh Thai,

You are most welcome!

Please note that both Tour Radar and the travel agent and Expat Explore Travel as the tour operator require this information.

If you have any additional concerns or questions, please don't hesitate to contact us. We're here to assist you.

Kind regards
Nicole E
Expat Explore Travel"""
14263,1170,826248,1647285,customer,traveller,message,2023-07-04 15:14:03,"""Thank you very much! I will fill the information in both of them"""
